Restaurant Name,restaurant_key
Kathi Junction,557
Moti Mahal Delux,558
Shree Gangaur,559
Gangaur Govindam,560
Urban Biryani,561
Nasta Bakery,562
The Food Court,563
Jashn The Restaurant,564
Bikkgane Biryani,565
KAVERI's,566
Gangaur Next,567
Simla Chat,568
Kuppuswami,569
Churuwala,570
The Bewakoof Hotel,571
Brothers Bakery,572
Wooden Spoon Restaurant,573
Kalash Cloud Kitchen,574
Shri Bhog Rasoi Dhaba,575
Maa Sagar Sweets And Food Court,576
Brijwasi Pure Veg,577
Attitude Cafe And Restaurant Nxt,578
Haveli Dhaba,579
Salam Namaste Hotel & Restaurant,580
K7 Hotel,581
Kabab E Biryani,582
Kaveri - Lalpur,583
Aloo Pitika,584
Spicy Affair,585
Biryani Adda,586
Blossom Cafe,587
Taste Tekker,588
Biryani Nation,589
Loyans Bakery & Confectionery,590
Biryani Hub,591
Fat Belly,592
Sardarji Da Dhaba,593
7Th Heaven,594
Cafe Go Green,595
Y Not Food Express,596
The Great Indian Kitchen,597
Zam Zam Biryani,598
Spice Garden,599
Adda,600
Red Chilly's - Spirits N Spices,601
Quick Bites,602
Hill View Holiday Home And Resort,603
Brew Cafe,604
KASTURI DHABA AND RESTAURANT,605
Frozzeto,606
JBs,607
Sweet Truth,608
Oriental Restaurant,609
Confucius (Silpukhuri),610
Food Exx,611
Home Kitchen,612
Confucius (Christan Basti),613
Street Za,614
Mast Biryani,615
Noodle Kitchen,616
Haldiram's Restaurant,617
PVR Cafe,618
Pind Balluchi,619
Moti Mahal,620
Big Hunger Ashoka Biryani,621
Barbeque Nation,622
"UBQ-Meals,Thalis & Bowls",623
MP's Kitchen,624
Momo Cafe - Courtyard by Marriott,625
Sandwich Junction,626
MP Dhaba,627
Babe da Dhaba,628
Blackfern Restaurant,629
Khana Khazana (Shankar Nagar),630
Rasoi Thali,631
Chai Govindam,632
New Delhi Sweets,633
Anna Punjabi,634
Ramdev's Khana Khazana,635
Gopal's 56,636
NDS Cafe,637
Amritsari Restaurant Katora Talab,638
New Little Hut Family Restaurant,639
The Biryani moradabadi,640
Udupi Cafe North India,641
The Eleganza,642
ROMNIK PIZZA,643
Thali House,644
The Retro Rolls,645
Green Chilly,646
Rollarappaa,647
Udupi Cafe Bangalore Idli,648
Satnam Punjabi Vaishno Dhaba,649
Kite Restaurant,650
Black Box Cafe,651
Mahawar Baker's & Sweets,652
Badmaash Kebabi,653
Keventers Waffles & Ice Cream,654
Handi Punjab Ki,655
Walk In Woods,656
Pandit Ji Sweets & Restaurant Dairy,657
Oye Hoye Paratha,658
Nazim Khan Kathi Roll,659
Karigari - By Chef Harpal Singh Sokhi,660
Kumar'S Sweet Shop (Jakhan),661
Kc Soup Bar,662
Kalsang Friends Corner,663
Pizza Italia,664
Tree Cafe And Restaurants,665
Downtown Multicuisine,666
Punjabi Foods (Jakhan),667
La Pino'Z Pizza,668
Uss Da Dhaba,669
FAT TIGER,670
Pyramid,671
Logo Cafe,672
Amar Bhojnalya,673
Pyramid Express,674
The Brew Estate,675
Beekays,676
Tara Bhojanalya,677
Auckland Hotel And Restaurant,678
37 The Central Restaurant,679
Wood Street Cafe,680
Singh's Tandoor.,681
Jashan Restaurant,682
Pizza town,683
Sahib's Punjabi Tadka,684
Sachins Dragon Villa,685
Mountain's Pizza,686
Sanjauli Cafe,687
One Bites Sanjauli,688
Kaushal Punjabi Rasoi,689
Wendo's Pizza,690
Mountain's Pizza Club,691
Chullah,692
New Chanakya,693
Aao Ji Te Khao Ji,694
Rolls Nation,695
Grits N Gravy,696
Pizzas Hub,697
Ice & Spice,698
Premjees,699
Chef's Planet,700
Mini Friends Corner,701
Nanta Bakers,702
Baker's Estate,703
The Story House,704
Mayur Hotel & Restaurant,705
Momo Magic Cafe,706
Urban Nawab,707
Appetite Classic,708
Izumi,709
Angry Sardar Courtyard,710
Sakana,711
Cafe Cotinga,712
Big Fat Sandwich & Pizza,713
Takeout - Asian Goodness,714
Babka Goa,715
Cafe Sanaya,716
Saudagar,717
The Temptations - 24/7,718
Navtara Veg Restaurant,719
Dosa Hub,720
Sopo,721
Baba Au Rhum Badem,722
Viggis,723
Cafe S.F. Xavier,724
AVO's Kitchen,725
Mustard Cafe - Hotel Astoria,726
Bawarchi - The Royal Chef,727
Punjab Sind,728
Cafe Sai Sadanand,729
Friends Corner,730
Dragon Panda,731
Highway Kitchen,732
Dharma Vaishno Dhaba,733
Lacima Cafe & Pizzeria,734
Pizza Jalapenia (Downtown),735
Vishal Vaishno Dhaba,736
Momoxpress,737
BIZZA Cafe Heritage,738
Grill's,739
Health Wealth Kitchen,740
Kashmir Trout,741
Stream Restaurant,742
Little Persia,743
Al-Baik,744
Punjabi Darbaar Dhaba,745
Krishna Vaishno Dhaba,746
Red Chilliz,747
Gulab Sweets And Restaurant,748
The Hayat,749
Grills Cafe,750
Central Perk,751
Idly & Dosai Delight,752
Hotspot Grill,753
Habitat Restaurant,754
Jai Krishna Vaishno Dhaba,755
New Shakti Sweets & Bakery,756
Cafe Parizaad,757
Food Hut,758
The Grill Republic,759
Roll's Hut,760
Modern Foods Bakery & Restauran,761
DQ Grill & Chill,762
Miles - City Mall,763
Cafe Ertugrul,764
De Linz Cafe,765
City Wok Restaurant,766
Books & Bricks Cafe,767
Rattan's Veg & Non Veg,768
New Shakti Sweets,769
Lhasa Restaurant,770
Tibetan Bowl,771
The Garage Cafe,772
Mad For Momos,773
Shahi Dhaba,774
Yumburgs,775
Brew n Bite,776
Parsa's,777
Barq Foods,778
Pizza Jalapenia (Uptown),779
Krav,780
Chick Blast (Rajbagh),781
Shakti Sweets Since 1966,782
Snack-A-Boo,783
The Master Chef,784
Pizzmo,785
The Meating Point,786
Tiffin aaw,787
Nathu'S Sweets And Restaurant,788
Mughal Darbar Since 1999,789
Gokul Dham Ka Dhaba,790
Full House - Aquilaria Clubhouse,791
Hotel Polo Towers,792
Swasti Niramish Hotel,793
Daya Hari Chatpata,794
Sherowali Restaurant and Fast Foods,795
Shyamasree Restaurant,796
Daya Hari Mithai,797
Sree Krishna Hotel,798
Priya Biryani,799
Sherowali Restaurant And Cafe,800
Sherowali Bhoj- Non Veg Hotel & Restaurant,801
Gopal Mistanna Bhandar,802
Mantu Biryani,803
Sherowali Sweets And Fast Foods,804
Cake Plaza,805
Suruchi,806
Dawat,807
Devi Fast Food,808
Hotel Niramish Bhojanalay,809
Steamin Mugs Cafe & Restaurant,810
Try Me,811
Abar Khabo,812
Taste With Me !,813
Shivansh fast food and restaurant,814
Sherowali Sweets,815
Radhe Bol,816
Maa Saradar Ranna Ghor,817
Cholo Khai,818
Rupar Tori Hotel & Restaurant,819
Frespresso,820
UK Pizza Hut,821
Hotel Rimi International,822
Delicious Fast Food,823
Tihar Flavours of Jail,824
Ujjwala Restaurant,825
Anna (Truly Veg),826
Nirmala Hotel & Restaurant,827
Truck Wala Dhaba,828
Cafe 99,829
CAKE AND ICE PARLOUR,830
SGS Fast Food,831
Mezang Traditional Restaurant,832
SKI Heaven Food,833
The Spicy Treat,834
Bosco Food Hub,835
USPFC - US Pizza & Fried Chicken,836
7th Heaven Cake Shop,837
Sagar Restaurant,838
Sunny's Restaurant - Keishampat,839
Samoxa,840
Like Momo,841
New Blue Moon,842
Tasty Tastes - Nagmapal,843
One Bite,844
Haona Chao,845
ABC Fast Food,846
Eikhoi Chakshang,847
Smoke House - Sangaiprou,848
Punjabi Tikka Restaurant,849
Food Zilla,850
Devrana Express,851
4 Seasons,852
One Bite New,853
Sangai Continental (Non Halal),854
Dawat-E-Khas Sweets & Snacks,855
Deja Vu,856
Snacks Point,857
Mummy's kitchen,858
Dreams Cafe,859
Middle East Cafe,860
Uncle Momos & Kitchen,861
Mr Khan Restro,862
Lilac Cafe,863
Infusion,864
The Thangapat Restaurant,865
Nakama Cafe,866
9 Hills Bistro,867
A1,868
Uncle Ugen's Momo,869
Khullak Cafe,870
Singju Imphal,871
City Dhaba,872
FIKA,873
Frys,874
175 C,875
Poirei Com Cake Shop,876
Boketto Cafe And Restaurant,877
Munchies,878
Old Delhi Grillzz,879
Hotel Enchanto Imphal,880
Meat Zone,881
Somewhere Cafe,882
Cheapest Food Zone,883
Clique,884
Chindam Cafe,885
Caffe In,886
Talk Of The Town (Bt Road),887
Crush Restaurant,888
Dawat-E-Khas Restaurant,889
The Hungry Beings,890
Le Zara,891
Dweller Teas & Snacks,892
Mellow,893
Naobas Chakhumang Restaurant,894
Kim Pou Restaurent,895
The Phoenix Residency,896
Mikado Restaurant,897
City Hut Family Dhaba,898
Lamee,899
Slice of Shillong,900
Trelly,901
The Chicken Wagon,902
Long Jhon Silver's,903
Baba Tourist Lodge,904
Southern Taste,905
Dejavu,906
House of parathas,907
Madras Cafe,908
Shaan Sweets And Snacks,909
DragonWok Restaurant,910
Food Lovers Restaurant,911
New Khusboo Biryani (Halal),912
The biryani story (HALAL),913
Indiana Restaurant,914
Wooden Plate,915
Bread Cafe,916
Jiva Veg,917
Hotel Heiga,918
Eden Restaurant,919
Aurora Restaurant & Lodging,920
Cafe Aurora,921
Crescent International Hotel,922
Bambusa Express,923
Ooopar Resto,924
Friends Cafe,925
Sumi Ethnic,926
Tibet Kitchen,927
Shabal Restaurant,928
51 Rainbows,929
Amaris,930
The Core,931
Yummy Bites,932
The cherith,933
Royal Veg. Hotel,934
Bambusa express,935
Slurppy Yummy,936
KC'S Kitchen,937
Wok N Roll,938
Otssi ohan,939
Zero Miles,940
Ao Rice Hotel,941
Hungry Panda,942
The Family Food Truck,943
Food moments,944
Wrap the cravings,945
Swu'S Kitchen,946
Aahar Kolkatta Biryani,947
Hotel Platinum & Restaurant,948
I food u,949
Emerald 3:14,950
Eleven Aizawl,951
Roti Tarka,952
Momo Cafe,953
Desi Choka,954
Kori's,955
Stay Fit Kitchen,956
Alpha Pizza House,957
Royal Kitchen,958
Pop Seoul,959
Food Hub,960
Zawlbuk,961
Mamagoto,962
Cafe La,963
Buzz Inn Restaurant,964
Shawarma Hut,965
Absolute Shawarma,966
Mad Over Shawarma,967
Elite Kitchen,968
Chopstyx,969
Felafels Restaurant,970
Cocoberry,971
Crown Restaurant,972
Khuangthali Restaurant,973
Jonas Cafe,974
Taste Buds,975
Thali Junction,976
The Sweet Cafe,977
Bowljini Mix Eat Repeat,978
Flavours Of Punjab,979
Sher E Punjab,980
Purple Restaurant & lounge bar,981
New Parivar Restaurant,982
Rasoi Restaurant,983
Noor The Biryani House,984
Hosanna Restaurant,985
Zongri Bakery & Cafe,986
Treat,987
Delicious Kitchen,988
Valley Vista,989
Etho Metho,990
Roll Corner,991
Hot Stuff Fast Food,992
Mama's Kitchen,993
