State,City,Location,location_key
Delhi,New Delhi,SECTOR-31,437
Delhi,New Delhi,Sector 16 Faridabad,438
Delhi,New Delhi,Sector 16_FBD,439
Delhi,New Delhi,Faridabad,440
Delhi,New Delhi,Vaishali,441
Telangana,Hyderabad,Miyapur,442
Telangana,Hyderabad,Sri Durga Colony,443
Telangana,Hyderabad,Nallagandla Village,444
Telangana,Hyderabad,GSM Mall,445
Telangana,Hyderabad,ICRISAT Colony,446
Telangana,Hyderabad,Hafeezpet,447
Telangana,Hyderabad,Chandanagar,448
Telangana,Hyderabad,Madinaguda,449
Telangana,Hyderabad,Kondapur,450
Telangana,Hyderabad,ameenpur & Lingampally,451
Telangana,Hyderabad,Nizampet,452
Telangana,Hyderabad,Sainikpuri,453
Telangana,Hyderabad,Yapral Kowkoor,454
Telangana,Hyderabad,Kapra,455
Telangana,Hyderabad,A. S. Rao Nagar,456
Telangana,Hyderabad,Ecil,457
Telangana,Hyderabad,Manchirevula,458
Telangana,Hyderabad,Narsingi,459
Telangana,Hyderabad,Kokapet,460
Telangana,Hyderabad,Manikonda,461
Telangana,Hyderabad,Narsingi FC,462
Telangana,Hyderabad,Gandipet,463
Telangana,Hyderabad,Bandlaguda,464
Telangana,Hyderabad,Attapur_Suncity_Bandlaguda,465
Telangana,Hyderabad,Hydershakote,466
Telangana,Hyderabad,Shanti Nagar,467
Telangana,Hyderabad,Vanasthalipuram,468
Telangana,Hyderabad,PEERZADIGUDA,469
West Bengal,Kolkata,Eco Space,470
West Bengal,Kolkata,Newtown,471
West Bengal,Kolkata,Rajarhat,472
West Bengal,Kolkata,NEWTOWN,473
West Bengal,Kolkata,Salt Lake,474
West Bengal,Kolkata,New Town,475
West Bengal,Kolkata,Eco Park Newtown,476
West Bengal,Kolkata,Behala Shakuntala Park,477
West Bengal,Kolkata,Alipore,478
West Bengal,Kolkata,Diamond Harbour Road,479
West Bengal,Kolkata,MAHATMA GANDHI ROAD,480
West Bengal,Kolkata,Barisha,481
West Bengal,Kolkata,Block A,482
West Bengal,Kolkata,James Long,483
West Bengal,Kolkata,Nemai Bhawan,484
West Bengal,Kolkata,STATION ROAD,485
Gujarat,Ahmedabad,Isanpur,486
Gujarat,Ahmedabad,Naroda,487
Gujarat,Ahmedabad,Paldi,488
Gujarat,Ahmedabad,Majestic Law Garden,489
Gujarat,Ahmedabad,CG Road,490
Gujarat,Ahmedabad,Prem Chand Nagar,491
Gujarat,Ahmedabad,Navrangpura,492
Gujarat,Ahmedabad,Vejalpur,493
Gujarat,Ahmedabad,Ambawadi,494
Gujarat,Ahmedabad,"Sachin Tower, Prahladnagar",495
Gujarat,Ahmedabad,"GF 1,2 MAHAVIR TOWER",496
Gujarat,Ahmedabad,Celebration City Centre Bopal,497
Gujarat,Ahmedabad,Sindhu Bhavan,498
Gujarat,Ahmedabad,Ugti Dham,499
Gujarat,Ahmedabad,Phoenix Palladium,500
Gujarat,Ahmedabad,Nikol,501
Rajasthan,Jaipur,Adarsh Nagar,502
Rajasthan,Jaipur,C Scheme,503
Rajasthan,Jaipur,Bani Park,504
Rajasthan,Jaipur,Johari Bazaar,505
Rajasthan,Jaipur,Pink City,506
Rajasthan,Jaipur,Lal Kothi,507
Rajasthan,Jaipur,Civil Lines,508
Rajasthan,Jaipur,Axis Mall,509
Rajasthan,Jaipur,MI Road,510
Rajasthan,Jaipur,Bais Godam,511
Rajasthan,Jaipur,Sahakar Marg,512
Rajasthan,Jaipur,Sindhi Camp,513
Rajasthan,Jaipur,Gopalpura,514
Rajasthan,Jaipur,Kukas,515
Rajasthan,Jaipur,Pratap Nagar,516
Rajasthan,Jaipur,Mansarovar,517
Rajasthan,Jaipur,Sanganer,518
Rajasthan,Jaipur,Hans Vihar,519
Uttar Pradesh,Lucknow,Ahmamau,520
Uttar Pradesh,Lucknow,Indira Nagar,521
Uttar Pradesh,Lucknow,Bbd,522
Uttar Pradesh,Lucknow,Semra,523
Uttar Pradesh,Lucknow,Chinhat,524
Uttar Pradesh,Lucknow,INDIRA NAGAR,525
Uttar Pradesh,Lucknow,Adhar kheda,526
Uttar Pradesh,Lucknow,Indra Nagar,527
Uttar Pradesh,Lucknow,Land Mark Square Commercial Complex,528
Uttar Pradesh,Lucknow,Khurram Nagar,529
Uttar Pradesh,Lucknow,Crown mall Lucknow,530
Uttar Pradesh,Lucknow,Crown Mall,531
